,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
13,2017-11-04,03:14:00,RCMelick,Officially the longest call with @united ever (1hr) but totally worth every minute. Thanks to Kevin at the #1K desk for top quality service,0.8334,0.0,0.0,0.0,1.0,officially longest call ever totally worth every minute thanks kevin #1k desk top quality service,['#1k'],4
23,2017-11-04,03:03:27,GilWritesHere,"@Super_awwsum @SouthwestAir Hear ya, but for LAX-EWR &amp; IAD-LAX I take @united 777 flights. Only carrier using domestic widebodies. Love 767, but those are  phased out.",0.7783,0.0,0.0,1.0,1.0,hear ya lax ewr and iad lax take flights carrier using domestic widebodies love phased,,0
31,2017-11-04,02:57:16,ItsKittyBabee,@united : By purchasing this super low fare we will make sure to inconvenience u in every way possible. Me: but what do u gain from this,0.7758,0.0,0.0,0.0,1.0,purchasing super low fare make sure inconvenience every way possible gain,,3
33,2017-11-04,02:50:05,loooorenanicole,@united 2nd time your agent hung up / disconnected me. It's fascinating how much time I've spent trying to get my United Explorer benefits!,0.8478,0.0,0.0,0.0,1.0,time agent hung disconnected fascinating much time i have spent trying get united explorer benefits,,3
44,2017-11-04,02:32:48,d0while,@united Special THANK YOU to Lala Martin in San Diego for being SUPER helpful and keeping the lazy employees in line!,0.9034,0.0,0.0,0.0,1.0,special thank lala martin san diego super helpful keeping lazy employees line,,1
46,2017-11-04,02:29:19,JimByersTravel,"A shout out to Kari, a flight attendant on @United 5530 to Toronto tonight. Great smile, easy manner &amp; a welcoming style. Excellent! #travel",0.9468,0.0,0.0,0.0,1.0,shout kari flight attendant toronto tonight great smile easy manner and welcoming style excellent #travel,['#travel'],3
60,2017-11-04,02:06:41,FLOYDMCV,"@COFlyerCLE @united Yes! Great idea, especially for long flights with more than one stop over. Thank you!",0.8136,0.0,0.0,0.0,1.0,yes great idea especially long flights one stop thank,,3
65,2017-11-04,02:01:57,BDashAmBrow,@tobyafranklin @imokx @AthenaFanLT Well @united must be reading my tweets because I just received this lovely message in my inbox ,0.765,0.0,0.0,0.0,1.0,well must reading tweets received lovely message inbox,,3
78,2017-11-04,01:51:16,william_a_dba,@BornSQL @united Best of luck to everyone on their travels home. Safe travels everyone,0.8779,0.0,0.0,0.0,1.0,best luck everyone travels home safe travels everyone,,0
80,2017-11-04,01:50:16,william_a_dba,@BornSQL We got out thanks to a very helpful @united gate attendant who moved us to an earlier flight. Will have a few min to make our connection.,0.7178,0.0,0.0,0.0,1.0,got thanks helpful gate attendant moved us earlier flight min make connection,,1
