,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
224,2017-11-03,23:36:41,vincenzolandino,@aaronscjohnson @holgermu @united @AmericanAir @SouthwestAir Never have. Wouldn't even know what to expect. I'm scared.,-0.4404,1.0,0.0,1.0,1.0,never would not even know expect i am scared,,4
486,2017-11-03,18:57:45,fromdasip,"@AmericanAir @united @Delta Also, deplane from the front and back on applicable planes. Work to change the policy. Hell anything is possible, look at our democracy!",-0.7088,1.0,1.0,0.0,1.0,also deplane front back applicable planes work change policy hell anything possible look democracy,,1
514,2017-11-03,18:34:28,ojuice33056,@iflymia parking garage elevator dirtiest in 30 yrs! More resourses for maint. @AmericanAir @United @LATAMAirlinesUS,-0.5707,1.0,0.0,0.0,1.0,parking garage elevator dirtiest yrs resourses maint,,1
715,2017-11-03,13:40:32,edg126,@GrahamRahal @united @AmericanAir Shots fired.,-0.5574,1.0,0.0,0.0,1.0,shots fired,,3
727,2017-11-03,13:17:26,loire1969,@Reagan_Airport @TherealTaraji @Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews You worthless sack of shit are still flying over us at &lt; 2000 ft. FUCK OFF!,-0.9006,1.0,0.0,1.0,1.0,worthless sack shit still flying us ft fuck,,3
750,2017-11-03,12:32:43,cwarren2006,@united @AmericanAir flights leave out early as 5:15 in OKC; your skycaps start at 4 see the problem? 2hours?,-0.504,1.0,0.0,0.0,1.0,flights leave early okc skycaps start see problem,,3
858,2017-11-03,05:56:39,jackswon,"@GrahamRahal @united @AmericanAir Life is tuff, suck it up",-0.4404,1.0,0.0,0.0,1.0,life tuff suck,,0
992,2017-11-03,00:53:52,asvpface,@AmericanAir @united @travelocity AYE yall some hoeessss omm bro. Im servin this damn country and yall cant reimburse me tickets due to military related shit so fuck yall imma just take this L and go negative on my leave,-0.9443,1.0,0.0,0.0,1.0,aye you all hoeessss omm bro i am servin damn country you all can not reimburse tickets due military related shit fuck you all imma take go negative leave,,3
1662,2017-11-02,06:10:23,HandsomeTimmyD,"@almaderricks @AmericanAir @united I feel your pain. To GA, American forced me to check my bag when there was PLENTY of room in the cabin. Am a member but they're losing me.",-0.7615,1.0,0.0,0.0,1.0,feel pain ga american forced check bag plenty room cabin member they are losing,,2
2088,2017-11-01,18:24:20,Its_RianM,So @AmericanAir SUCKS!! I had to buy a whole new ticket on @united to Mexico on something that should be so simple.,-0.6243,1.0,0.0,0.0,1.0,sucks buy whole new ticket mexico something simple,,2
2286,2017-11-01,13:45:49,Libyssaeharenae,"@AmericanAir And, colleagues' @united flight scheduled at 6:30 left 8 minutes late, not 1 hour late with same LAX issue.  Poor execution. #AA292.",-0.4767,1.0,0.0,0.0,1.0,colleagues flight scheduled left minutes late hour late lax issue poor execution #aa292,['#aa292'],2
2590,2017-10-31,21:56:34,freedive__shop,@free_dive @USAfreediving @AmericanAir @united I noticed this when I went to book my flight to DEMA! Crazy!,-0.4559,1.0,0.0,0.0,1.0,noticed went book flight dema crazy,,4
2766,2017-10-31,17:40:36,free_dive,@AmericanAir This is FRAUD! You might as well drag me off the plane like @United   complete #FAILURE on your part to be transparent — this is dishonest,-0.7798,1.0,0.0,0.0,1.0,fraud might well drag plane like complete #failure part transparent dishonest,['#failure'],1
4188,2017-10-30,02:01:50,Bkymn15,@united @AmericanAir And @United strikes again.... said checked bag is lost. You had one job and u the bed,-0.5859,1.0,0.0,0.0,1.0,strikes said checked bag lost one job bed,,2
4427,2017-10-29,23:08:44,Bkymn15,@united stop sucking so hard! u made me gate️my carryon because there was no space?!? Weird. #timeforastatusmatch @AmericanAir,-0.7742,1.0,0.0,0.0,1.0,stop sucking hard made gate️my carry on space weird #timeforastatusmatch,['#timeforastatusmatch'],2
4470,2017-10-29,22:33:51,samcharrington,"@united @AmericanAir ... of flight are being cancelled due to this storm; speaking to a broader pattern I've seen. Last time, they cancelled due to ""weather"" 4/N",-0.4588,1.0,0.0,0.0,1.0,flight cancelled due storm speaking broader pattern i have seen last time cancelled due weather,,1
5034,2017-10-29,12:27:09,729clouds,Basic Economy is terrible for the brand images of @Delta @united @AmericanAir not that they care.  These airlines have become foolish,-0.78,1.0,1.0,0.0,1.0,basic economy terrible brand images care airlines become foolish,,3
