,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
202,2017-11-03,23:46:28,oGkazaM,From this day forward I’m never flying any airline beside @delta or @united I’m stuck in Seattle cause my connectinflight LEFT! During delay,-0.5562,0.0,1.0,0.0,1.0,day forward i am never flying airline beside i am stuck seattle because connectinflight left delay,,2
205,2017-11-03,23:45:05,oGkazaM,Sorry Just fucking sorry every airline should just sell themselves to @Delta or @united stuck in Seattle and they are the only one that’s ,-0.4391,0.0,1.0,0.0,1.0,sorry fucking sorry every airline sell stuck seattle one thats,,2
486,2017-11-03,18:57:45,fromdasip,"@AmericanAir @united @Delta Also, deplane from the front and back on applicable planes. Work to change the policy. Hell anything is possible, look at our democracy!",-0.7088,1.0,1.0,0.0,1.0,also deplane front back applicable planes work change policy hell anything possible look democracy,,2
641,2017-11-03,15:49:38,TamarackDrive,@united Cheaper if I had BOUGHT THE TICKET ON @DELTAL  and the agent said he could wave the fee if someone was sick or DIED?!?!  3/3,-0.8617,0.0,1.0,0.0,1.0,cheaper bought ticket agent said could wave fee someone sick died,,1
728,2017-11-03,13:13:05,AntiTourist,"Is Basic Economy a newer thing with @Delta, @united &amp; more, or no? It makes me feel I matter even less. @flyingwithfish? @TheFlightDeal?",-0.4439,0.0,1.0,0.0,1.0,basic economy newer thing and makes feel matter even less,,1
1686,2017-11-02,04:05:39,xortim,@Delta @larrypod At least you weren't delayed because they were assaulting another passenger. @united really lowered the bar,-0.531,0.0,1.0,0.0,1.0,least were not delayed assauing another passenger really lowered bar,,0
2816,2017-10-31,15:57:02,shaunii_frank,@Delta you guys should house a CustomerService 101 workshop for these trash airlines! @united deserves all the bad press it gets!,-0.6229,0.0,1.0,0.0,1.0,guys house customerservice workshop trash airlines deserves bad press gets,,2
2833,2017-10-31,15:44:09,shaunii_frank,@united has the worst customer service! Save yourselves some stress and just fly @Delta . #SoDisgusted,-0.6114,0.0,1.0,0.0,1.0,worst customer service save stress fly #sodisgusted,['#sodisgusted'],4
3319,2017-10-30,23:42:43,autumnmonroe,Sorry @delta cheated @United and they SUCK even @Starbucks was wack. #illbefaithful #wonthappenagain #deltahasbestcustomerservice,-0.8038,0.0,1.0,0.0,1.0,sorry cheated suck even wack #illbefaithful #wonthappenagaineahasbestcustomerservice,"['#illbefaithful', '#wonthappenagaineahasbestcustomerservice']",2
3329,2017-10-30,23:26:47,lampshade_music,Remind me to never travel by plane again... it’s always a trap for an awful experience. Way to go @Delta and @united for making me never want to travel again.,-0.6728,0.0,1.0,0.0,1.0,remind never travel plane always trap awful experience way go making never want travel,,3
3470,2017-10-30,20:47:25,DocOnDev,"@Delta - This @United 1k isn't happy. ""Customer Service"" just rebooked me in economy on flight where I was already paid/booked 1st class.",-0.4585,0.0,1.0,0.0,1.0,is not happy customer service rebooked economy flight already paidbooked class,,4
3970,2017-10-30,10:50:30,delitescere,@flyLAXairport @RealGeneKim @united On @united? Only thing worse would be @Delta,-0.4767,0.0,1.0,0.0,1.0,thing worse would,,3
4373,2017-10-29,23:45:06,lhommedieu,"@ConsumerReports @Delta airlines is notorious for doing this, as are other airlines like @United too!!! My experience, not sure about others. Thoughts?",-0.5003,0.0,1.0,0.0,1.0,airlines notorious airlines like experience sure others thoughts,,2
4426,2017-10-29,23:10:29,asexton92,@RobRoy154 @united Yeah fuck that bitch and @united !!! I will never not fly @Delta again. I’m delayed waiting for my delta flight and I got snack and sympathy,-0.7488,0.0,1.0,0.0,1.0,yeah fuck bitch never fly i am delayed waiting dea flight got snack sympathy,,0
4608,2017-10-29,20:57:35,SJHphotographs,"@united If I book a flight through you, are you going to make it as awful as last year, or should I book @Delta ?",-0.4588,0.0,1.0,0.0,1.0,book flight going make awful last year book,,1
5034,2017-10-29,12:27:09,729clouds,Basic Economy is terrible for the brand images of @Delta @united @AmericanAir not that they care.  These airlines have become foolish,-0.78,1.0,1.0,0.0,1.0,basic economy terrible brand images care airlines become foolish,,2
6610,2017-10-27,17:34:55,arctec34,@Delta Remember me? It's been another week. I don't understand how you can possibly have such awful customer service. I just booked @united,-0.4588,0.0,1.0,0.0,1.0,remember another week do not understand possibly awful customer service booked,,4
6978,2017-10-27,09:40:20,HMartin80,"@TheCandiceAdams @united @Delta I’m @united premier, but @delta has an insane CX all around!",-0.5916,0.0,1.0,0.0,1.0,i am premier insane cx around,,2
7027,2017-10-27,06:34:16,TheCandiceAdams,@united @Delta Update: the $10 voucher doesn’t cover a glass of wine to *unwind* from the stress. Boarded at 8:40 so we’re creeping on 3 hours. @united,-0.4215,0.0,1.0,0.0,1.0,update voucher does not cover glass wine unwind stress boarded creeping hours,,0
7182,2017-10-27,01:49:00,JackieBnotO,"@united @united's customer service is a tragedy, and their customers apparently aren't even worth $200 to them. Woman on the phone basically said ""tough luck"". I miss @delta",-0.8001,0.0,1.0,0.0,1.0,customer service tragedy customers apparently are not even worth woman phone basically said tough luck miss,,4
7506,2017-10-26,20:20:27,Sir_MarkT,"Every time I fly @united I become more disappointed, why do I keep putting myself throw this? Sorry @Delta I won’t stray again #NoMas",-0.5815,0.0,1.0,0.0,1.0,every time fly become disappointed keep putting throw sorry will not stray #nomas,['#nomas'],1
7769,2017-10-26,17:00:19,Kennyb681,@united is the worst airline in the world. It takes 2 weeks to talk to customer service. I will never fly with them again. Fly @Delta,-0.6249,0.0,1.0,0.0,1.0,worst airline world takes weeks talk customer service never fly fly,,4
8178,2017-10-26,05:13:06,EthanAndLiamHD,@whatsinside @united @Delta Alaska does that nonsense too. So annoying.,-0.6901,0.0,1.0,0.0,1.0,alaska nonsense annoying,,0
8384,2017-10-26,00:02:10,JeromyWelch,Come on @Delta 🤤 I'm a fan but today's travel has been insane. Haven't we learned anything from @united with excessive overbooking,-0.4404,0.0,1.0,0.0,1.0,come i am fan todays travel insane have not learned anything excessive overbooking,,3
8409,2017-10-25,23:31:58,kcad13,@TBBJnewsroom @united @Delta @AmericanAir They've also settled more customer abuse lawsuits this year than them.,-0.7463,1.0,1.0,0.0,1.0,they have also settled customer abuse lawsuits year,,4
8473,2017-10-25,22:32:30,KenSilverstein1,Thxs @AmericanAir 4 fucking me RUTA 2day when I cld have gotten fucked by @SouthwestAir @Delta or @United. Ur CEOs shld have hedz lopped off,-0.6597,1.0,1.0,1.0,1.0,thanks fucking ruta cld gotten fucked your ceos shld hedz lopped,,2
8539,2017-10-25,21:34:15,MonFronck,@united at least @Delta owns up to their mistakes and makes it right. I’ll spend an extra $500 for @Delta to avoid you.,-0.5719,0.0,1.0,0.0,1.0,least owns mistakes makes right i will spend extra avoid,,1
8549,2017-10-25,21:17:11,brilbc,"Bad day for Delta @Delta just can’t get out of Los Angeles 1st DL1888 now DL 2262, I think @united has newer planes going east",-0.5423,0.0,1.0,0.0,1.0,bad day dea can not get los angeles dl1888 dl think newer planes going east,,2
9143,2017-10-25,09:43:33,geoffarnold,Butt in seat 19A @Delta 2616 EWR-DTW (because @united cancelled my flight last night). Exit row in a 717 (really a Mad Dog).,-0.6369,0.0,1.0,0.0,1.0,butt seat ewrdtw cancelled flight last night exit row really mad dog,,1
9262,2017-11-04,03:45:31,Grinch19thhole,@Delta bag service sucks in RDU. 20 minutes my ass,-0.7184,0.0,1.0,0.0,0.0,bag service sucks rdu minutes ass,,4
9278,2017-11-04,03:18:54,artjanota,Ohhh @Delta ... this was not a good travel day. 1st flight all bathrooms broke. 2nd flight delayed. Bag lost. Dinner plans ruined...,-0.8129,0.0,1.0,0.0,0.0,ohhh good travel day flight bathrooms broke flight delayed bag lost dinner plans ruined,,0
9290,2017-11-04,03:07:45,ErinDonnelley,"@Delta I’d like to submit a formal complaint about a very very terrible agent at Vegas Delta D40, Sandra",-0.5222,0.0,1.0,0.0,0.0,i would like submit formal complaint terrible agent vegas dea d40 sandra,,3
9300,2017-11-04,02:55:41,danielleshnell,@Delta It wasn't just the delay there were so many other factors that went so wrong &amp; had me in tears. Im still in the air @ least no longer crying,-0.7304,0.0,1.0,0.0,0.0,was not delay many factors went wrong and tears i am still air least longer crying,,3
9309,2017-11-04,02:50:24,Huskerborn78,"@Delta I was able to have the situation explained to me, but I am worried about not being upgradable in LAX-SLC when I land.",-0.4215,0.0,1.0,0.0,0.0,able situation explained worried upgradable laxslc land,,3
9310,2017-11-04,02:50:07,danielleshnell,"@delta thx for the day from hell trying to fly to Seattle, @ least your flight attendants are the saving grace of an otherwise horrible day",-0.5859,0.0,1.0,0.0,0.0,thx day hell trying fly seattle least flight attendants saving grace otherwise horrible day,,2
9314,2017-11-04,02:49:00,mfdii,@Delta Two unhelpful ladies at A18 are completely clueless that a 737 transcon has landed with a bunch of stranded passengers,-0.4201,0.0,1.0,0.0,0.0,two unhelpful ladies a18 completely clueless transcon landed bunch stranded passengers,,1
9317,2017-11-04,02:47:48,blakebwoods,@LarryHoova @Delta I mean I knew it was bad but this is getting unreal...tell me to DM someone and then their battery died? Total silence...,-0.7992,0.0,1.0,0.0,0.0,mean knew bad getting unreaell direct message someone battery died total silence,,2
9319,2017-11-04,02:46:30,LarryHoova,@blakebwoods @Delta Pathetic they get away with whatever they want.,-0.5267,0.0,1.0,0.0,0.0,pathetic get away whatever want,,3
9324,2017-11-04,02:33:39,FastEddie400,@Delta U just lost a customer. Pathetic how 45 min is considered late check in and bag didn’t make it on the plane even in first class #done,-0.7184,0.0,1.0,0.0,0.0,lost customer pathetic min considered late check bag did not make plane even first classone,,3
9325,2017-11-04,02:32:44,blakebwoods,@Delta Wow delta not only didn’t wait but left the gate early! Arrived in PLN 14 mins ahead of schedule. That is frustrating!,-0.465,0.0,1.0,0.0,0.0,wow dea did not wait left gate early arrived pln minutes ahead schedule frustrating,,3
9329,2017-11-04,02:28:05,parklesss,@Delta And you aren't a great airline. You fuck around with people's time as if WE don't pay YOU. Worse than budget European airlines...,-0.6052,0.0,1.0,0.0,0.0,are not great airline fuck around peoples time do not pay worse budget european airlines,,2
9335,2017-11-04,02:18:45,azerzan1,@Mike_DOlivo @Delta Stop hating on @Delta . They are top notch and an industry leader,-0.5719,0.0,1.0,0.0,0.0,stop hating top notch industry leader,,1
9336,2017-11-04,02:18:26,hersinis,@Delta But how @delta? By delaying another 1.5 hours at the last minute? By making staff blame customers for further possible delays? By doing zip?,-0.5204,0.0,1.0,0.0,0.0,delaying another hours last minute making staff blame customers possible delays zip,,0
9337,2017-11-04,02:16:48,CocoHiss,"Just met one of the most miserable employees I’ve ever encountered while traveling with @Delta - wow.  Can it really be that bad, my dude?",-0.5356,0.0,1.0,0.0,0.0,met one miserable employees i have ever encountered traveling wow really bad dude,,2
9338,2017-11-04,02:16:35,jackwagner51,@Delta very disappointed in terrible customer “service”. Delay in flight means the connection is really tight. Shut gate in face. Bad!!!!,-0.8813,0.0,1.0,0.0,0.0,disappointed terrible customer service delay flight means connection really tight shut gate face bad,,4
9349,2017-11-04,01:56:36,hersinis,@Delta Thanks. I know that and it’s only partly the issue. It’s the incompetence in notification and staff blaming passengers that’s the problem.,-0.743,0.0,1.0,0.0,0.0,thanks know partly issue incompetence notification staff blaming passengers thats problem,,2
9352,2017-11-04,01:56:21,StefTasman,@Delta flight got delayed 4 hours  + now I’m forced to check my carry on. Remind me why I pay even more money to be a SkyMiles member?,-0.6486,0.0,1.0,0.0,0.0,flight got delayed hours i am forced check carry remind pay even money skymiles member,,0
9355,2017-11-04,01:55:18,UMCoachHutch,@Delta Tired of apologies. #happenstoooften!,-0.4926,0.0,1.0,0.0,0.0,tired apologies #happenstoooften,['#happenstoooften'],1
9365,2017-11-04,01:40:34,ladiesmilk111,@Delta H9CS7J. I felt really disappointed.,-0.5256,0.0,1.0,0.0,0.0,h9cs7j fe really disappointed,,2
9369,2017-11-04,01:39:03,hersinis,@delta you also just lost two return Australia flights over Christmas. We’re DONE. @Qantas I miss you so much.,-0.4404,0.0,1.0,0.0,0.0,also lost two return australia flights christmas done miss much,,3
9373,2017-11-04,01:37:51,blakebwoods,@Delta I need to talk to someone about a refund. Going to miss a wedding if I wait 24 hours for next flight to PLN. Gate agent was not helpful. DM,-0.4464,0.0,1.0,0.0,0.0,need talk someone refund going miss wedding wait hours next flight pln gate agent helpful direct message,,1
9375,2017-11-04,01:35:33,shmotzcoogen,"I love flying Delta but lately too many idiot passengers with big dogs,this guy in 1B, drunk, dog unruly, inconvenient &amp; not safe! @Delta",-0.9091,0.0,1.0,0.0,0.0,love flying dea lately many idiot passengers big dogsthis guy drunk dog unruly inconvenient and safe,,1
9384,2017-11-04,01:31:25,KennysLittleBro,"1.5 hr delay @Delta frm @DetroitMetroAir - too many planes, not enough gates, really bad management thx 4 patience! Prisoners have no choice",-0.8451,0.0,1.0,0.0,0.0,hr delay frm many planes enough gates really bad management thx patience prisoners choice,,2
9387,2017-11-04,01:30:07,Brownjody,@Delta death in family &amp; cannot speak to delta rep online via chat or on phone for over 3 HOURS. Still waiting. Very disappointing.,-0.8122,0.0,1.0,0.0,0.0,death family and cannot speak dea representative online chat phone hours still waiting disappointing,,0
9391,2017-11-04,01:24:31,Longin4Reagan,"@Delta Flt 4477 pushes out 4X. First 1 hr, then 2, then 4 now &gt;5 hrs. Do u realize how bad that sucks? Do you?!!",-0.7872,0.0,1.0,0.0,0.0,f pushes first hr 5 hours realize bad sucks,,2
9392,2017-11-04,01:24:25,DreammSin,Female gate agent at F16 for DL2115 8.40p flight is acting racist. absolutely unacceptable @Delta. Is ignorance the company attitude?,-0.8687,0.0,1.0,0.0,0.0,female gate agent f16 dl2115 flight acting racist absolutely unacceptable ignorance company attitude,,1
9395,2017-11-04,01:19:51,hersinis,"And finally @Delta - I fly a lot. LITERALLY the only airline that has delayed me more than 3 hours, and you’ve done it twice in 4 mths! Smh",-0.5411,0.0,1.0,0.0,0.0,finally fly lot literally airline delayed hours you have done twice mths shaking my head,,0
9397,2017-11-04,01:18:35,hersinis,@Delta luggage on a plane is a normal part of flying. Threatening more delay on top of a 4hr delay if people don’t stack right is appalling,-0.8411,0.0,1.0,0.0,0.0,luggage plane normal part flying threatening delay top delay people do not stack right appalling,,3
9399,2017-11-04,01:18:11,NeverInPants,@Delta Your insincere use of “sincerely” is yet another insult.,-0.7269,0.0,1.0,0.0,0.0,insincere use sincerely yet another insu,,1
9400,2017-11-04,01:16:49,hersinis,"Hi @delta - anyone can understand a plane delay for weather, but your staff’s unapologetic customer blaming is the worst.",-0.9118,0.0,1.0,0.0,0.0,hi anyone understand plane delay weather staffs unapologetic customer blaming worst,,3
9403,2017-11-04,01:15:57,Mildog7722,@Delta  @DeltaAssist miserable situation again. DL 5448 delay after delay. Miserable communication. Family waiting,-0.875,0.0,1.0,0.0,0.0,miserable situation dl delay delay miserable communication family waiting,,3
9409,2017-11-04,01:09:33,mccjr02,Wtf is wrong with @Delta!! 4hr delay for a 40 fucking minute flight. LAX-LAS. Good fucking job. #terrible #NotOnTime #Ridiculous,-0.7835,0.0,1.0,0.0,0.0,wtf wrong delay fucking minute flight laxlas good fucking job #terrible #notontime #ridiculous,"['#terrible', '#notontime', '#ridiculous']",3
9414,2017-11-04,01:02:26,BenjamInsistent,@Delta flew to LGA going 2 BOS. Earlier flight had open spots but unable 2 get on due 2 economy? Ridiculous. Xactly why I fly @SouthwestAir,-0.5023,0.0,1.0,1.0,0.0,flew lga going bos earlier flight open spots unable get due economy ridiculous xactly fly,,1
9416,2017-11-04,01:00:59,NeverInPants,"@Delta Also, this reply is insulting. It is telling of what you think of your customers.",-0.4939,0.0,1.0,0.0,0.0,also reply insuing telling think customers,,1
9417,2017-11-04,01:00:41,ToddSouthern,"@Delta No frustration, your staff asked for volunteers, yet rcv’d only 3 of the 18 needed. Offer a coupon for a checked bag on a future round trip.",-0.6486,0.0,1.0,0.0,0.0,frustration staff asked volunteers yet rcvd needed offer coupon checked bag future round trip,,1
9420,2017-11-04,00:59:40,Malirising,@Delta help! Every flight on my trip to Mali is a disaster and now you've rebooked my Paris to Bamako flight with a ticket to Algiers. No.,-0.5983,0.0,1.0,0.0,0.0,help every flight trip mali disaster you have rebooked paris bamako flight ticket algiers,,1
9430,2017-11-04,00:53:03,GorgeousBrownie,@Delta you all need to fix this ... our company utilizes you all too often for this foolishness #DeltaSucks,-0.5023,0.0,1.0,0.0,0.0,need fix company utilizes often foolishnesseasucks,,1
9433,2017-11-04,00:51:23,MEC1681,@Delta and because of this silliness I have to sit in a seat that I will not be comfortable in!,-0.6272,0.0,1.0,0.0,0.0,silliness sit seat comfortable,,1
9437,2017-11-04,00:50:42,MEC1681,I'm also a skymiles member also so this is pathetic @Delta! Looks like I might need to get rid of my card and stick with American!,-0.4674,0.0,1.0,0.0,0.0,i am also skymiles member also pathetic looks like might need get rid card stick american,,1
9445,2017-11-04,00:46:50,NeverInPants,My biggest complaint about @delta is that they think fooling us with incremental delays only to result in an over 3 hr delay is insulting.,-0.8555,0.0,1.0,0.0,0.0,biggest complaint think fooling us incremental delays resu hr delay insuing,,3
9456,2017-11-04,00:35:17,travisjaymoore,@Delta boarding pass on the lock screen hasn’t been working for ~3 weeks on several different flights. App issue or settings problem? iOS11,-0.4019,0.0,1.0,0.0,0.0,boarding pass lock screen has not working weeks several different flights app issue settings problem ios11,,1
9461,2017-11-04,00:31:31,HunterCanyon,@Delta really is that Bitch ️,-0.6204,0.0,1.0,0.0,0.0,really bitch,,3
9462,2017-11-04,00:31:23,riskleadership,@DELTA shame on me 4 buying an economy fare as a Gold Medallion. Treated poorly today @ LAS @ gate after inquiring about my seat. Never mind,-0.4767,0.0,1.0,0.0,0.0,shame buying economy fare gold medallion treated poorly today las gate inquiring seat never mind,,1
9467,2017-11-04,00:25:34,bensonbenson884,@Delta Letting u know what???  That a seat was back! Do u not want flight number! Bad that the crew r seen doing this but customers can’t! ,-0.5978,0.0,1.0,0.0,0.0,letting know seat back want flight number bad crew seen customers can not,,2
9468,2017-11-04,00:25:28,InstEnteX,".@Delta gate agent @DetroitAirport “we have more planes than gates. How that happens I don’t know, been doing this 33 yrs” bad management",-0.5423,0.0,1.0,0.0,0.0,dea gate agent planes gates happens do not know yrs bad management,,3
9482,2017-11-04,00:16:29,vittorpia,"My plane/seat @Delta #Flight121 to Tokyo, Japan. Not as scary; @IllidanDecoy Team is with me. See you #SocialMedia in 12 Hours",-0.4939,0.0,1.0,0.0,0.0,planeseat #flight121 tokyo japan scary team see #socialmedia hours,"['#flight121', '#socialmedia']",0
9485,2017-11-04,00:14:58,vittorpia,"Hey #BlizzCon! @IllidanDecoy and I are currently above Siberia, @Delta #Flight121 half way through to Tokyo... Crazy!",-0.4559,0.0,1.0,0.0,0.0,hey #blizzcon currently siberia #flight121 half way tokyo crazy,"['#blizzcon', '#flight121']",1
9495,2017-11-04,00:03:44,amyllarson,@delta....world’s worst airline!!!  No gates...  Can’t even get your luggage to the baggage claim!  Horrible,-0.8994,0.0,1.0,0.0,0.0,worst airline gates can not even get luggage baggage claim horrible,,2
9501,2017-11-03,23:54:45,Tig_woh,"@Delta delays all day long today, and when I finally get on the plane there is no space in the overheads. Disappointing experience.",-0.6597,0.0,1.0,0.0,0.0,delays day long today finally get plane space overheads disappointing experience,,3
9511,2017-11-03,23:52:05,akwilcoxakw,"@Delta  Epic fail Delta. Flight from DIA delayed 6 hrs due to air traffic cntrl, at least that was what I was told, lie!Missed the big game",-0.69,0.0,1.0,0.0,0.0,epic fail dea flight dia delayed hours due air traffic cntrl least told liemissed big game,,0
9513,2017-11-03,23:51:32,ryancrawcour,All planes that arrived after &amp; were around us have moved to gates &amp; we're still waiting. So what's up @delta / @SeaTacAirport who's lying?,-0.5267,0.0,1.0,0.0,0.0,planes arrived and around us moved gates and still waiting what is who is lying,,3
9523,2017-11-03,23:45:25,MaeMargretDavis,I partially retract my statement. @Delta rebooked me first class with priority boarding. I don’t hate it.,-0.5719,0.0,1.0,0.0,0.0,partially retract statement rebooked first class priority boarding do not hate,,2
9527,2017-11-03,23:40:51,parklesss,@delta has the worst customer service in the industry. 2 hours of comms with your reps and nothing has been fixed - only receiving lies!,-0.8016,0.0,1.0,0.0,0.0,worst customer service industry hours comms reps nothing fixed receiving lies,,4
9532,2017-11-03,23:37:25,playmaker09,@komonews @PortofSeattle @SeaTacAirport @Delta @AlaskaAir What is going on at SeaTac airport? No snow at the airport! Don't we learn from last year? This is the worst airport. Inexperienced people!! #seatac #alaskaair #Delta,-0.8194,0.0,1.0,0.0,0.0,going seatac airport snow airport do not learn last year worst airport inexperienced people #seatac #alaskaairea,"['#seatac', '#alaskaairea']",2
9535,2017-11-03,23:34:53,NicoleeLira,@Delta now we're on the runway for an hour and a half because the gate is in use. Worse flight experience ever.,-0.4767,0.0,1.0,0.0,0.0,runway hour half gate use worse flight experience ever,,3
9537,2017-11-03,23:33:11,JacksonUtahUtes,@Delta Literally no one has a clue &amp; an employee just admitted to me no one is communicating so she made something up cuz people are getting mad,-0.7351,0.0,1.0,0.0,0.0,literally one clue and employee admitted one communicating made something because people getting mad,,1
9543,2017-11-03,23:28:10,JordanLongacre,"Well we landed @SeaTacAirport, looks cold &amp; snowy here #wawx, too bad we are stuck on @Delta plane for 1hr they say w/ no available gates ",-0.6808,0.0,1.0,0.0,0.0,well landed looks cold and snowy #wawx bad stuck plane say available gates,['#wawx'],3
9545,2017-11-03,23:27:17,JacksonUtahUtes,@Delta I know delays as I’ve flown over 1 million miles w/Delta but I’ve never seen a more disorganized mess than at SEA by Delta &amp; bad info,-0.7757,0.0,1.0,0.0,0.0,know delays i have flown million miles wdea i have never seen disorganized mess sea dea and bad info,,2
9546,2017-11-03,23:25:59,tobyfuture,"@Delta Not solely due to snow, but also mechanical error",-0.5499,0.0,1.0,0.0,0.0,solely due snow also mechanical error,,1
9556,2017-11-03,23:16:32,theboyg,"@Delta Not what I'm used to when I'm in @VirginAtlantic lounges, but that's not really a fair comparison... #Spoilt #LoungeSnob #GetOverYourself",-0.4153,0.0,1.0,0.0,0.0,i am used i am lounges thats really fair comparison #spoi #loungesnob #getoveryourself,"['#spoi', '#loungesnob', '#getoveryourself']",2
9566,2017-11-03,23:12:58,pat_hm,@Delta Where is the accountability? This has nothing to do with weather. Terrible airline. I'll never book another flight for me or my family again,-0.4767,0.0,1.0,0.0,0.0,accountability nothing weather terrible airline i will never book another flight family,,2
9567,2017-11-03,23:11:29,pat_hm,@Delta Weather? It's not raining or snowing. I can send you a photo from my window. It's not freezing. Over an hour wasted now. Disaster.,-0.7908,0.0,1.0,0.0,0.0,weather raining snowing send photo window freezing hour wasted disaster,,3
9575,2017-11-03,23:04:58,pat_hm,@Delta I demand compensation for my time. Flight landed over an hour ago and still no gate. Zero accountability. Will never fly w/you  ever again.,-0.4019,0.0,1.0,0.0,0.0,demand compensation time flight landed hour ago still gate zero accountability never fly wyou ever,,1
9577,2017-11-03,23:04:00,stokesmarv,"@Delta airlines suck. Have been sitting at seatle airport boarded for an hour because of ""snow delays"" .... there is no snow #MakeThisRight",-0.6249,0.0,1.0,0.0,0.0,airlines suck sitting seatle airport boarded hour snow delays snow #makethisright,['#makethisright'],3
9579,2017-11-03,23:03:39,pat_hm,@Delta Flight # DL2508 LAX to SEA. Total disaster. Rude flight attendants. Late flight supposed to leave at 1150. Still on tarmac at SeaTac,-0.8074,0.0,1.0,0.0,0.0,flight dl2508 lax sea total disaster rude flight attendants late flight supposed leave still tarmac seatac,,3
